,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
199,Banglore,9700000,1705,Yelahanka,3,1,0
200,Banglore,7300000,1304,Yelahanka,2,1,0
201,Banglore,9180000,1700,Anjanapura,3,1,0
202,Banglore,6986000,1277,Carmelaram,2,1,0
203,Banglore,6081000,1111,Carmelaram,2,1,0
204,Banglore,7891000,1443,Carmelaram,3,1,0
205,Banglore,6070000,1109,Carmelaram,2,1,0
206,Banglore,5961000,1089,Carmelaram,2,1,0
207,Banglore,8442000,1544,Carmelaram,3,1,0
208,Banglore,9003000,1647,Carmelaram,3,1,0
209,Banglore,5923000,1082,Carmelaram,2,1,0
210,Banglore,6174000,1128,Carmelaram,2,1,0
211,Banglore,5994000,1095,Carmelaram,2,1,0
212,Banglore,8180000,1496,Carmelaram,3,1,0
213,Banglore,7662000,1401,Carmelaram,3,1,0
214,Banglore,8763000,1538,Horamavu,3,1,0
215,Banglore,8957000,1573,Horamavu,3,1,0
216,Banglore,6581000,1181,Horamavu,2,1,0
217,Banglore,9640000,1687,Horamavu,3,1,0
218,Banglore,6664000,1196,Horamavu,2,1,0
219,Banglore,6631000,1190,Horamavu,2,1,0
220,Banglore,10000000,1766,Horamavu,3,1,0
221,Banglore,9879000,1730,Horamavu,3,1,0
222,Banglore,8529000,1532,Horamavu,3,1,0
223,Banglore,7252000,1305,Jalahalli,2,0,0
224,Banglore,9037000,1645,Jalahalli,3,0,0
225,Banglore,7298000,1315,Jalahalli,2,0,0
226,Banglore,10400000,1950,Jalahalli,3,0,0
227,Banglore,9520000,1750,Jalahalli,3,0,0
228,Banglore,7229000,1300,Jalahalli,2,0,0
229,Banglore,9887000,1830,Jalahalli,3,0,0
230,Banglore,10300000,1935,Jalahalli,3,0,0
231,Banglore,7159999,1285,Jalahalli,2,0,0
232,Banglore,10700000,2010,Jalahalli,3,0,0
233,Banglore,8900000,1615,Jalahalli,3,0,0
234,Banglore,9382000,1720,Jalahalli,3,0,0
235,Banglore,7344000,1325,Jalahalli,2,0,0
236,Banglore,7091000,1270,Jalahalli,2,0,0
237,Banglore,6279000,1320,Kasavanahalli,3,1,0
238,Banglore,5306000,1100,Kasavanahalli,2,1,0
239,Banglore,6655000,1405,Kasavanahalli,3,1,0
240,Banglore,5195000,1075,Kasavanahalli,2,1,0
241,Banglore,5483000,1140,Kasavanahalli,2,1,0
242,Banglore,5527000,1150,Kasavanahalli,2,1,0
243,Banglore,6412000,1350,Kasavanahalli,3,1,0
244,Banglore,6036000,1265,Kasavanahalli,3,1,0
245,Banglore,4930000,1015,Kasavanahalli,2,1,0
246,Banglore,6611000,1395,Kasavanahalli,3,1,0
247,Banglore,5173000,1070,Kasavanahalli,2,1,0
